Roll,Filename,DateTime,Encounter,Cluster,C_Males,C_Adults,C_Calves,Total,GPSDateTime,Lat,Long,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
CARIB10,20100120_080409,20/01/2010 08:04:09,1,20101002,0,0,1,1,20/01/2010 08:04,15.32125,-61.50282,0:00:05,2010,1,20,804,8,4,9,8:04:09,20/01/2010
CARIB10,20100120_081208,20/01/2010 08:12:08,1,20101003,0,1,2,3,20/01/2010 08:12,15.31429,-61.49991,0:00:04,2010,1,20,812,8,12,8,8:12:08,20/01/2010
CARIB10,20100120_083332,20/01/2010 08:33:32,1,20101004,0,1,1,2,20/01/2010 08:33,15.30984,-61.49967,0:00:08,2010,1,20,833,8,33,32,8:33:32,20/01/2010
CARIB10,20100120_092216,20/01/2010 09:22:16,1,20101005,0,1,0,1,20/01/2010 09:22,15.30237,-61.47789,0:00:02,2010,1,20,922,9,22,16,9:22:16,20/01/2010
CARIB10,20100120_094140,20/01/2010 09:41:40,1,20101006,0,1,0,1,20/01/2010 09:41,15.29292,-61.47717,0:00:06,2010,1,20,941,9,41,40,9:41:40,20/01/2010
CARIB10,20100120_095117,20/01/2010 09:51:17,1,20101007,0,1,0,1,20/01/2010 09:51,15.28086,-61.47214,0:00:03,2010,1,20,951,9,51,17,9:51:17,20/01/2010
CARIB10,20100120_110306,20/01/2010 11:03:06,1,20101008,0,0,1,1,20/01/2010 11:03,15.28361,-61.45201,0:00:02,2010,1,20,1103,11,3,6,11:03:06,20/01/2010
CARIB10,20100120_112117,20/01/2010 11:21:17,1,20101009,0,1,2,3,20/01/2010 11:21,15.27644,-61.44445,0:00:03,2010,1,20,1121,11,21,17,11:21:17,20/01/2010
CARIB10,20100120_115024,20/01/2010 11:50:24,1,20101010,0,1,0,1,20/01/2010 11:50,15.26518,-61.43774,0:00:00,2010,1,20,1150,11,50,24,11:50:24,20/01/2010
CARIB10,20100120_122536,20/01/2010 12:25:36,1,20101011,0,2,1,3,20/01/2010 12:25,15.25758,-61.43499,0:00:02,2010,1,20,1225,12,25,36,12:25:36,20/01/2010
CARIB10,20100120_134227,20/01/2010 13:42:27,1,20101013,0,1,1,2,20/01/2010 13:42,15.22183,-61.40803,0:00:03,2010,1,20,1342,13,42,27,13:42:27,20/01/2010
CARIB10,20100120_134921,20/01/2010 13:49:21,1,20101014,0,1,1,2,20/01/2010 13:49,15.22057,-61.4128,0:00:07,2010,1,20,1349,13,49,21,13:49:21,20/01/2010
CARIB10,20100120_140810,20/01/2010 14:08:10,1,20101015,0,0,1,1,20/01/2010 14:08,15.2137,-61.41157,0:00:06,2010,1,20,1408,14,8,10,14:08:10,20/01/2010
CARIB10,20100120_144230,20/01/2010 14:42:30,1,20101016,0,1,0,1,20/01/2010 14:42,15.19683,-61.41033,0:00:06,2010,1,20,1442,14,42,30,14:42:30,20/01/2010
CARIB10,20100120_145123,20/01/2010 14:51:23,1,20101017,0,2,2,4,20/01/2010 14:51,15.1995,-61.41228,0:00:09,2010,1,20,1451,14,51,23,14:51:23,20/01/2010
CARIB10,20100120_151315,20/01/2010 15:13:15,1,20101018,0,1,1,1,20/01/2010 15:13,15.20081,-61.41799,0:00:01,2010,1,20,1513,15,13,15,15:13:15,20/01/2010
