Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,total,GPSDateTime,LAT,LONG,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP16,20160401_133411,01/04/16 13:34:11,2,201602001,0,3,1,4,,,,,2016,4,1,1334,13,34,11,13:34:11,4/1/2016
DSWP16,20160401_140036,01/04/16 14:00:36,2,201602002,0,1,0,1,,,,,2016,4,1,1400,14,0,36,14:00:36,4/1/2016
DSWP16,20160401_143118e,01/04/16 14:31:18,2,201602003,0,1,0,1,,,,,2016,4,1,1431,14,31,18,14:31:18,4/1/2016
DSWP16,20160401_144632,01/04/16 14:46:32,2,201602004,0,1,0,1,,,,,2016,4,1,1446,14,46,32,14:46:32,4/1/2016
DSWP16,20160401_150322,01/04/16 15:03:22,2,201602005,0,1,0,1,,,,,2016,4,1,1503,15,3,22,15:03:22,4/1/2016
DSWP16,20160401_160112,01/04/16 16:01:12,2,201602006,0,1,0,1,,,,,2016,4,1,1601,16,1,12,16:01:12,4/1/2016
DSWP16,20160401_160751,01/04/16 16:07:51,2,201602007,0,1,0,1,,,,,2016,4,1,1607,16,7,51,16:07:51,4/1/2016
DSWP16,20160401_161552,01/04/16 16:15:52,2,201602008,0,1,0,1,,,,,2016,4,1,1615,16,15,52,16:15:52,4/1/2016
DSWP16,20160401_164452,01/04/16 16:44:52,2,201602009,0,2,1,3,,,,,2016,4,1,1644,16,44,52,16:44:52,4/1/2016
DSWP16,20160401_170637,01/04/16 17:06:37,2,201602011,0,1,1,2,,,,,2016,4,1,1706,17,6,37,17:06:37,4/1/2016
DSWP16,20160402_090330d,02/04/16 09:03:30,3,201603001,0,3,1,4,,,,,2016,4,2,903,9,3,30,9:03:30,4/2/2016
DSWP16,20160402_091709,02/04/16 09:17:09,3,201603002,0,1,1,2,,,,,2016,4,2,917,9,17,9,9:17:09,4/2/2016
DSWP16,20160402_094144d,02/04/16 09:41:44,3,201603003,0,1,0,1,,,,,2016,4,2,941,9,41,44,9:41:44,4/2/2016
DSWP16,20160402_094310,02/04/16 09:43:10,3,201603004,0,1,1,2,,,,,2016,4,2,943,9,43,10,9:43:10,4/2/2016
DSWP16,20160402_100428f,02/04/16 10:04:28,3,201603005,0,2,1,3,,,,,2016,4,2,1004,10,4,28,10:04:28,4/2/2016
DSWP16,20160402_105440,02/04/16 10:54:40,3,201603006,0,1,1,2,,,,,2016,4,2,1054,10,54,40,10:54:40,4/2/2016
DSWP16,20160402_110547c,02/04/16 11:05:47,3,201603007,0,1,0,1,,,,,2016,4,2,1105,11,5,47,11:05:47,4/2/2016
DSWP16,20160402_134406,02/04/16 13:44:06,3,201603008,0,2,0,2,,,,,2016,4,2,1344,13,44,6,13:44:06,4/2/2016
DSWP16,20160402_144859c,02/04/16 14:48:59,3,201603009,0,2,0,2,,,,,2016,4,2,1448,14,48,59,14:48:59,4/2/2016
DSWP16,20160403_112407,03/04/16 11:24:07,6,201606001,1,0,0,1,,,,,2016,4,3,1124,11,24,7,11:24:07,4/3/2016
DSWP16,20160403_123725f,03/04/16 12:37:25,6,201606002,1,0,0,1,,,,,2016,4,3,1237,12,37,25,12:37:25,4/3/2016
DSWP16,20160403_163941,03/04/16 16:39:41,6,201606003,0,1,0,1,,,,,2016,4,3,1639,16,39,41,16:39:41,4/3/2016
DSWP16,20160403_164947d,03/04/16 16:49:47,6,201606004,0,1,1,2,,,,,2016,4,3,1649,16,49,47,16:49:47,4/3/2016
DSWP16,20160404_085208,04/04/16 08:52:08,8,201608001,0,1,0,1,,,,,2016,4,4,852,8,52,8,8:52:08,4/4/2016
DSWP16,20160404_090354b,04/04/16 09:03:54,8,201608002,0,3,1,4,,,,,2016,4,4,903,9,3,54,9:03:54,4/4/2016
DSWP16,20160404_090638,04/04/16 09:06:38,8,201608003,0,0,1,1,,,,,2016,4,4,906,9,6,38,9:06:38,4/4/2016
DSWP16,20160404_091233,04/04/16 09:12:33,8,201608004,0,2,0,2,,,,,2016,4,4,912,9,12,33,9:12:33,4/4/2016
DSWP16,20160404_092946,04/04/16 09:29:46,8,201608005,0,3,0,3,,,,,2016,4,4,929,9,29,46,9:29:46,4/4/2016
DSWP16,20160404_095259b,04/04/16 09:52:59,8,201608006,0,1,0,1,,,,,2016,4,4,952,9,52,59,9:52:59,4/4/2016
DSWP16,20160404_100538,04/04/16 10:05:38,8,201608007,0,2,1,3,,,,,2016,4,4,1005,10,5,38,10:05:38,4/4/2016
DSWP16,20160404_102914e,04/04/16 10:29:14,8,201608008,0,1,0,1,,,,,2016,4,4,1029,10,29,14,10:29:14,4/4/2016
DSWP16,20160404_104438,04/04/16 10:44:38,8,201608009,0,1,1,2,,,,,2016,4,4,1044,10,44,38,10:44:38,4/4/2016
DSWP16,20160404_110939d,04/04/16 11:09:39,8,201608010,0,2,1,3,,,,,2016,4,4,1109,11,9,39,11:09:39,4/4/2016
DSWP16,20160404_113258,04/04/16 11:32:58,8,201608011,0,1,0,1,,,,,2016,4,4,1132,11,32,58,11:32:58,4/4/2016
DSWP16,20160404_120256f,04/04/16 12:02:56,8,201608012,0,1,1,2,,,,,2016,4,4,1202,12,2,56,12:02:56,4/4/2016
DSWP16,20160404_122300,04/04/16 12:23:00,8,201608013,0,1,0,1,,,,,2016,4,4,1223,12,23,0,12:23:00,4/4/2016
DSWP16,20160404_125705c,04/04/16 12:57:05,8,201608014,0,2,1,3,,,,,2016,4,4,1257,12,57,5,12:57:05,4/4/2016
DSWP16,20160404_133636,04/04/16 13:36:36,8,201608015,0,1,0,1,,,,,2016,4,4,1336,13,36,36,13:36:36,4/4/2016
DSWP16,20160404_135245d,04/04/16 13:52:45,8,201608016,0,1,1,2,,,,,2016,4,4,1352,13,52,45,13:52:45,4/4/2016
DSWP16,20160404_143051,04/04/16 14:30:51,8,201608017,0,1,1,2,,,,,2016,4,4,1430,14,30,51,14:30:51,4/4/2016
DSWP16,20160404_145217,04/04/16 14:52:17,8,201608018,0,1,0,1,,,,,2016,4,4,1452,14,52,17,14:52:17,4/4/2016
DSWP16,20160404_145449,04/04/16 14:54:49,8,201608019,0,1,0,1,,,,,2016,4,4,1454,14,54,49,14:54:49,4/4/2016
DSWP16,20160404_153228d,04/04/16 15:32:28,8,201608020,0,2,0,2,,,,,2016,4,4,1532,15,32,28,15:32:28,4/4/2016
DSWP16,20160404_154232c,04/04/16 15:42:32,8,201608021,0,2,1,3,,,,,2016,4,4,1542,15,42,32,15:42:32,4/4/2016
DSWP16,20160404_154406,04/04/16 15:44:06,8,201608022,0,0,1,1,,,,,2016,4,4,1544,15,44,6,15:44:06,4/4/2016
DSWP16,20160405_094318,05/04/16 09:43:18,9,201609001,0,1,1,2,,,,,2016,4,5,943,9,43,18,9:43:18,4/5/2016
DSWP16,20160405_100555,05/04/16 10:05:55,9,201609002,0,1,1,2,,,,,2016,4,5,1005,10,5,55,10:05:55,4/5/2016
DSWP16,20160405_101508,05/04/16 10:15:08,9,201609003,0,0,1,1,,,,,2016,4,5,1015,10,15,8,10:15:08,4/5/2016
DSWP16,20160405_101919,05/04/16 10:19:19,9,201609004,0,1,0,1,,,,,2016,4,5,1019,10,19,19,10:19:19,4/5/2016
DSWP16,20160405_102706,05/04/16 10:27:06,9,201609005,0,3,1,4,,,,,2016,4,5,1027,10,27,6,10:27:06,4/5/2016
DSWP16,20160405_103950c,05/04/16 10:39:50,9,201509006,0,2,0,2,,,,,2016,4,5,1039,10,39,50,10:39:50,4/5/2016
DSWP16,20160405_112401,05/04/16 11:24:01,9,201609007,0,1,1,2,,,,,2016,4,5,1124,11,24,1,11:24:01,4/5/2016
DSWP16,20160405_112836d,05/04/16 11:28:36,9,201609008,0,1,0,1,,,,,2016,4,5,1128,11,28,36,11:28:36,4/5/2016
DSWP16,20160405_122314,05/04/16 12:23:14,9,201609009,0,1,0,1,,,,,2016,4,5,1223,12,23,14,12:23:14,4/5/2016
DSWP16,20160405_165959d,05/04/16 16:59:59,9,201609010,0,1,0,1,,,,,2016,4,5,1659,16,59,59,16:59:59,4/5/2016
DSWP16,20160406_093638,06/04/16 09:36:38,12,201612001,1,0,0,1,,,,,2016,4,6,936,9,36,38,9:36:38,4/6/2016
DSWP16,20160406_095501g,06/04/16 09:55:01,12,201612002,0,1,0,1,,,,,2016,4,6,955,9,55,1,9:55:01,4/6/2016
DSWP16,20160406_100020,06/04/16 10:00:20,12,201612003,0,1,1,2,,,,,2016,4,6,1000,10,0,20,10:00:20,4/6/2016
DSWP16,20160406_101205d,06/04/16 10:12:05,12,201612004,0,1,1,2,,,,,2016,4,6,1012,10,12,5,10:12:05,4/6/2016
DSWP16,20160406_102504,06/04/16 10:25:04,12,201612005,0,0,1,1,,,,,2016,4,6,1025,10,25,4,10:25:04,4/6/2016
DSWP16,20160406_103705f,06/04/16 10:37:05,12,201612006,1,0,1,2,,,,,2016,4,6,1037,10,37,5,10:37:05,4/6/2016
DSWP16,20160406_112713,06/04/16 11:27:13,12,201612007,1,0,0,1,,,,,2016,4,6,1127,11,27,13,11:27:13,4/6/2016
DSWP16,20160406_115414d,06/04/16 11:54:14,12,201612008,0,3,2,5,,,,,2016,4,6,1154,11,54,14,11:54:14,4/6/2016
DSWP16,20160406_135150,06/04/16 13:51:50,13,201613001,0,1,0,1,,,,,2016,4,6,1351,13,51,50,13:51:50,4/6/2016
DSWP16,20160406_144515g,06/04/16 14:45:15,13,201613002,0,1,1,2,,,,,2016,4,6,1445,14,45,15,14:45:15,4/6/2016
DSWP16,20160406_145222,06/04/16 14:52:22,13,201613003,0,1,0,1,,,,,2016,4,6,1452,14,52,22,14:52:22,4/6/2016
DSWP16,20160406_150632b,06/04/16 15:06:32,13,201613004,0,1,1,2,,,,,2016,4,6,1506,15,6,32,15:06:32,4/6/2016
DSWP16,20160406_151618,06/04/16 15:16:18,13,201613005,0,1,0,1,,,,,2016,4,6,1516,15,16,18,15:16:18,4/6/2016
DSWP16,20160406_153456e,06/04/16 15:34:56,13,201613006,0,1,0,1,,,,,2016,4,6,1534,15,34,56,15:34:56,4/6/2016
DSWP16,20160406_154750,06/04/16 15:47:50,13,201613007,0,2,1,3,,,,,2016,4,6,1547,15,47,50,15:47:50,4/6/2016
DSWP16,20160406_163002,06/04/16 16:30:02,13,201613008,0,1,0,1,,,,,2016,4,6,1630,16,30,2,16:30:02,4/6/2016
DSWP16,20160406_164538,06/04/16 16:45:38,13,201613009,0,1,0,1,,,,,2016,4,6,1645,16,45,38,16:45:38,4/6/2016
DSWP16,20160406_165518,06/04/16 16:55:18,13,201613010,0,1,0,1,,,,,2016,4,6,1655,16,55,18,16:55:18,4/6/2016
DSWP16,20160407_091258,07/04/16 09:12:58,14,201614001,0,2,1,3,,,,,2016,4,7,912,9,12,58,9:12:58,4/7/2016
DSWP16,20160407_094821,07/04/16 09:48:21,14,201614002,0,1,1,2,,,,,2016,4,7,948,9,48,21,9:48:21,4/7/2016
DSWP16,20160407_100212,07/04/16 10:02:12,14,201614003,0,1,1,2,,,,,2016,4,7,1002,10,2,12,10:02:12,4/7/2016
