Roll,Filename,DateTime,Encounter,Cluster,Males,Adults,Calves,Total,GPSDateTime,Lat,Long,DatelTime...GPSTime,Year,Month,Day,Time,Hour,Min,Sec,TrueTime,Date
DSWP17,20170405_093800a,05/04/2017 9:38:00,2,201702001,0,1,0,1,,,,,2017,4,5,938,9,38,0,09:38:00,05/04/2017
DSWP17,20170405_100829a,05/04/2017 10:08:29,2,201702002,0,1,0,1,,,,,2017,4,5,1008,10,8,29,10:08:29,05/04/2017
DSWP17,20170405_101658a,05/04/2017 10:16:58,2,201702003,0,2,0,2,,,,,2017,4,5,1016,10,16,58,10:16:58,05/04/2017
DSWP17,20170405_103043a,05/04/2017 10:30:43,2,201702004,0,1,0,1,,,,,2017,4,5,1030,10,30,43,10:30:43,05/04/2017
DSWP17,20170405_110605a,05/04/2017 11:06:05,2,201702005,0,1,0,1,,,,,2017,4,5,1106,11,6,5,11:06:05,05/04/2017
DSWP17,20170405_111746a,05/04/2017 11:17:46,2,201702006,0,3,0,3,,,,,2017,4,5,1117,11,17,46,11:17:46,05/04/2017
DSWP17,20170405_112730a,05/04/2017 11:27:30,2,201702007,0,3,0,3,,,,,2017,4,5,1127,11,27,30,11:27:30,05/04/2017
DSWP17,20170405_122057a,05/04/2017 12:20:57,2,201702008,0,2,0,2,,,,,2017,4,5,1220,12,20,57,12:20:57,05/04/2017
DSWP17,20170405_122540a,05/04/2017 12:25:40,2,201702009,0,1,0,1,,,,,2017,4,5,1225,12,25,40,12:25:40,05/04/2017
DSWP17,20170405_122707a,05/04/2017 12:27:07,2,201702010,0,1,0,1,,,,,2017,4,5,1227,12,27,7,12:27:07,05/04/2017
DSWP17,20170405_132831a,05/04/2017 13:28:31,2,201702011,0,1,0,1,,,,,2017,4,5,1328,13,28,31,13:28:31,05/04/2017
DSWP17,20170405_141713a,05/04/2017 14:17:13,2,201702012,0,1,0,1,,,,,2017,4,5,1417,14,17,13,14:17:13,05/04/2017
DSWP17,20170405_153333a,05/04/2017 15:33:33,2,201702013,0,1,0,1,,,,,2017,4,5,1533,15,33,33,15:33:33,05/04/2017
